week,location,average_price
27/04/2013,157.00(160.41),156.28(155.88)
20/04/2013,156.49(124.63),163.52(141.97)
13/04/2013,137.72(129.59),157.50(158.26)
06/04/2013,132.08(102.56),131.67(133.30)
30/03/2013,N.S.(80.10),N.S.(88.87)
23/03/2013,134.46(N.S.),127.98(N.S.)
16/03/2013,N.S.(N.S.),N.S.(N.S.)
09/03/2013,137.56(87.56),122.39(80.16)
02/03/2013,140.62(92.43),N.S.(N.S.)
23/02/2013,133.19(99.14),121.85(75.29)
16/02/2013,128.29(102.73),120.77(86.69)
09/02/2013,130.35(106.79),119.13(86.75)
02/02/2013,130.71(108.93),116.72(86.87)
26/01/2013,139.69(112.19),116.64(86.06)
19/01/2013,137.50(113.44),121.70(87.81)
12/01/2013,142.04(119.00),122.05(89.74)
05/01/2013,144.54(121.66),130.10(93.38)
27/12/2014,154.00(143.77),126.21(117.81)
20/12/2014,163.07(143.51),125.90(118.65)
13/12/2014,162.89(146.96),133.06(121.76)
06/12/2014,167.18(152.31),133.87(124.54)
29/11/2014,164.65(153.33),135.22(124.02)
22/11/2014,164.80(146.15),135.24(126.04)
15/11/2014,161.67(144.73),140.05(130.55)
08/11/2014,156.50(144.78),137.04(131.78)
01/11/2014,153.01(145.11),136.55(130.12)
25/10/2014,151.69(148.04),136.59(132.51)
18/10/2014,151.82(NS),136.25(NS)
11/10/2014,150.25(148.81),135.50(137.32)
04/10/2014,NS(148.01),NS(135.36)
27/09/2014,149.44(148.10),137.67(131.59)
20/09/2014,152.43(145.77),135.82(131.85)
13/09/2014,147.62(145.36),142.00(131.08)
06/09/2014,151.73(144.05),140.92(129.23)
30/08/2014,155.34(146.59),145.57(132.27)
23/08/2014,157.06(146.78),146.97(132.56)
16/08/2014,161.16(155.04),151.07(134.78)
09/08/2014,164.98(150.85),152.84(139.61)
02/08/2014,169.05(147.60),158.57(140.94)
26/07/2014,176.66(150.47),162.26(142.14)
19/07/2014,181.20(153.68),165.71(144.93)
12/07/2014,189.38(157.33),174.07(146.80)
05/07/2014,186.10(158.62),174.18(148.91)
28/06/2014,182.85(155.34),177.29(147.02)
21/06/2014,174.66(148.54),176.29(142.94)
14/06/2014,166.56(144.87),171.55(141.25)
07/06/2014,162.49(147.56),163.39(138.74)
31/05/2014,160.14(149.53),163.76(135.41)
24/05/2014,160.61(151.69),160.93(141.91)
17/05/2014,164.01(155.68),158.48(148.31)
10/05/2014,161.06(153.75),165.04(145.64)
03/05/2014,167.02(158.93),166.38(151.43)
26/04/2014,167.68(157.00),159.54(156.28)
19/04/2014,133.67(156.49),140.78(163.52)
12/04/2014,162.95(137.72),164.36(157.50)
05/04/2014,113.96(132.08),131.47(131.67)
29/03/2014,102.38(NS),91.43(NS)
22/03/2014,NS(134.46),NS(127.98)
15/03/2014,NS(NS),NS(NS)
08/03/2014,109.66(137.56),109.59(122.39)
01/03/2014,N.S.(140.62),N.S.(N.S.)
22/02/2014,114.99(133.19),115.12(121.85)
15/02/2014,116.41(128.29),110.56(120.77)
08/02/2014,119.04(130.35),105.06(119.13)
01/02/2014,120.33(130.71),107.47(116.72)
25/01/2014,125.62(139.69),107.82(116.64)
18/01/2014,129.64(137.50),107.86(121.70)
11/01/2014,136.13(142.04),113.20(122.05)
04/01/2014,145.31(144.54),116.88(130.10)
26/12/2015,153.79(154.00),135.27(126.18)
19/12/2015,157.45(163.07),134.46(125.90)
12/12/2015,155.83(162.89),133.57(133.06)
05/12/2015,154.94(167.18),137.00(133.87)
28/11/2015,157.92(164.65),144.91(135.22)
21/11/2015,152.56(164.80),141.95(135.24)
14/11/2015,154.15(161.67),147.66(140.05)
07/11/2015,155.49(156.50),141.27(137.04)
31/10/2015,153.37(153.01),140.56(136.55)
24/10/2015,NS(151.69),NS(136.59)
17/10/2015,157.02(151.82),140.92(136.25)
10/10/2015,162.17(150.25),141.25(135.50)
03/10/2015,153.90(NS),145.37(NS)
26/09/2015,158.22(149.44),146.82(137.67)
19/09/2015,164.58(152.43),144.42(135.82)
12/09/2015,164.57(147.62),144.06(142.00)
05/09/2015,165.47(151.73),149.82(140.92)
29/08/2015,168.49(155.34),152.24(145.57)
22/08/2015,170.35(157.06),152.27(146.97)
15/08/2015,166.07(161.16),151.38(151.07)
08/08/2015,163.72(164.98),151.02(152.83)
01/08/2015,169.45(169.05),152.64(158.58)
25/07/2015,169.12(176.66),156.88(162.34)
18/07/2015,169.33(181.20),150.99(165.71)
11/07/2015,163.85(189.38),155.18(174.07)
04/07/2015,155.47(186.10),153.59(174.18)
27/06/2015,163.57(182.85),153.20(177.33)
20/06/2015,161.95(174.66),151.84(176.29)
13/06/2015,153.25(166.56),150.97(171.58)
06/06/2015,153.48(162.49),149.26(163.45)
30/05/2015,157.29(160.14),143.73(163.76)
23/05/2015,145.07(161.60),145.40(160.93)
16/05/2015,153.55(164.01),143.06(158.48)
09/05/2015,148.11(161.06),148.38(165.04)
02/05/2015,154.19(167.02),147.73(166.38)
25/04/2015,164.50(167.68),120.68(159.54)
18/04/2015,110.39(133.67),156.83(140.78)
11/04/2015,108.09(162.95),138.15(164.36)
04/04/2015,NS(113.96),91.70(131.47)
28/03/2015,84.97(102.38),NS(91.43)
21/03/2015,NS(NS),NS(NS)
14/03/2015,91.99 (NS),104.98 (NS)
07/03/2015,86.73(109.66),100.93(109.59)
28/02/2015,96.04(NS),104.08(NS)
21/02/2015,110.66(114.99),102.71(115.12)
14/02/2015,121.37(116.41),101.16(110.58)
07/02/2015,123.81(119.04),100.35(105.08)
31/01/2015,131.11(120.33),105.44(107.47)
24/01/2015,135.29(125.62),108.54(107.83)
17/01/2015,143.80(129.64),122.39(107.87)
10/01/2015,144.55(136.13),113.50(113.20)
03/01/2015,147.87(145.31),119.08(116.88)
31/12/2016,NS(147.26),127.81(125.94)
24/12/2016,144.88(153.79),131.35(135.27)
17/12/2016,148.67(157.45),130.57(134.46)
10/12/2016,148.35(155.83),133.78(133.57)
03/12/2016,152.06(154.94),133.44(137.00)
26/11/2016,154.83(157.92),138.11(144.91)
19/11/2016,154.58(152.56),137.02(141.95)
12/11/2016,152.38(154.15),138.84(147.66)
05/11/2016,150.34(155.49),137.18(141.27)
29/10/2016,147.48(153.37),137.98(140.56)
22/10/2016,148.41(NS),140.46(NS)
15/10/2016,NS(157.02),NS(140.93)
08/10/2016,144.54(162.17),139.15(141.25)
01/10/2016,147.47(153.90),138.78(145.37)
24/09/2016,149.87(158.22),139.27(146.82)
17/09/2016,150.20(164.58),137.97(144.42)
10/09/2016,149.90(164.57),140.12(144.06)
03/09/2016,151.35(165.47),141.28(149.82)
27/08/2016,150.00(168.49),142.04(152.24)
20/08/2016,155.05(170.35),141.17(152.27)
13/08/2016,158.31(166.07),143.12(151.38)
06/08/2016,159.40(163.72),144.15(151.02)
30/07/2016,159.43(169.45),146.07(152.64)
23/07/2016,162.54(169.12),149.85(156.88)
16/07/2016,171.50(169.33),154.04(150.99)
09/07/2016,163.96(163.85),155.34(155.18)
02/07/2016,168.49(155.47),154.87(153.59)
25/06/2016,163.93(163.57),152.88(153.20)
18/06/2016,163.88(161.95),152.99(151.84)
11/06/2016,154.04(153.28),150.08(150.97)
04/06/2016,144.51(153.48),146.46(149.26)
28/05/2016,144.66(157.29),133.69(143.73)
21/05/2016,145.09(145.07),129.30(145.40)
14/05/2016,150.15(153.55),136.08(143.06)
07/05/2016,146.67(148.11),133.41(148.38)
30/04/2016,149.14(154.19),139.84(147.73)
23/04/2016,160.41(164.50),146.24(120.68)
16/04/2016,164.44(110.39),154.38(156.83)
09/04/2016,143.69(108.09),170.53(138.15)
02/04/2016,NS(NS),119.11(91.70)
26/03/2016,NS(84.97),NS(NS)
19/03/2016,111.62(NS),NS(NS)
12/03/2016,NS(91.99),105.35(104.98)
05/03/2016,NS(86.73),NS(101.00)
27/02/2016,109.77(96.04),108.52(104.08)
20/02/2016,119.41(110.66),108.19(102.71)
13/02/2016,122.26(121.37),113.29(101.16)
06/02/2016,117.94(123.81),113.04(100.35)
30/01/2016,122.06(131.11),115.69(105.44)
23/01/2016,131.62(135.29),115.34(108.54)
16/01/2016,139.57(143.80),128.57(122.39)
09/01/2016,145.47(144.55),129.16(113.50)
02/01/2016,147.26(147.87),125.94(119.08)
30/12/2017,149.17(NS),136.80(127.81)
23/12/2017,147.62(144.88),139.79(131.35)
16/12/2017,155.58(148.67),140.58(130.57)
09/12/2017,157.88(148.35),140.01(133.78)
02/12/2017,157.66(152.06),142.47(133.44)
25/11/2017,159.51(154.83),143.61(138.11)
18/11/2017,157.92(154.58),142.04(137.01)
11/11/2017,159.63(152.38),144.18(138.84)
04/11/2017,158.91(150.34),147.84(137.18)
28/10/2017,159.21(147.48),152.04(137.98)
21/10/2017,159.12(148.41),148.86(140.46)
14/10/2017,160.37(NS),153.66(NS)
07/10/2017,165.01(144.54),151.24(139.15)
30/09/2017,NS(147.47),NS(138.78)
23/09/2017,162.78(149.87),153.70(139.27)
16/09/2017,153.92(150.20),149.57(137.97)
09/09/2017,160.59(149.90),147.99(140.12)
02/09/2017,156.33(151.35),149.81(141.28)
26/08/2017,163.05(150.00),153.43(142.04)
19/08/2017,165.98(155.05),153.11(141.17)
12/08/2017,164.03(158.31),156.38(143.12)
05/08/2017,154.56(159.40),156.28(144.15)
29/07/2017,162.98(159.43),153.23(146.07)
22/07/2017,165.87(162.54),151.19(149.85)
15/07/2017,160.57(171.50),151.21(154.04)
08/07/2017,170.56(163.96),152.63(155.34)
01/07/2017,165.76(168.49),150.69(154.87)
24/06/2017,161.95(163.93),157.62(152.88)
17/06/2017,159.84(163.88),157.29(152.99)
10/06/2017,149.52(154.04),150.17(150.08)
03/06/2017,139.43(144.51),140.04(146.46)
27/05/2017,140.33(144.66),131.32(133.69)
20/05/2017,147.06(145.09),131.78(129.30)
13/05/2017,149.13(150.15),139.20(136.08)
06/05/2017,148.71(146.67),142.07(133.41)
29/04/2017,148.44(149.14),148.50(139.84)
22/04/2017,151.77(160.41),158.44(146.24)
15/04/2017,120.65(164.44),161.34(154.38)
08/04/2017,112.70(143.69),130.71(170.53)
01/04/2017,NS(NS),106.49(119.11)
25/03/2017,105.09(NS),NS(NS)
18/03/2017,106.99(111.62),109.54(NS)
11/03/2017,108.97(NS),104.74(105.35)
04/03/2017,108.12(NS),106.32(NS)
25/02/2017,110.41(109.77),110.20(108.52)
18/02/2017,116.79(119.41),106.49(108.19)
11/02/2017,123.73(122.26),105.59(113.29)
04/02/2017,129.21(117.94),106.14(113.04)
28/01/2017,131.53(122.06),111.18(115.69)
21/01/2017,138.95(131.62),118.20(115.34)
14/01/2017,137.42(139.57),119.67(128.57)
07/01/2017,142.07(145.47),123.86(129.16)
29/12/2018,151.87(149.17),133.51(136.80)
22/12/2018,154.33(147.62),137.02(139.79)
15/12/2018,155.64(155.58),140.67(140.58)
08/12/2018,159.12(157.88),143.55(140.01)
01/12/2018,160.37(157.66),147.55(142.47)
24/11/2018,158.48(159.51),147.28(143.61)
17/11/2018,159.47(157.92),147.43(142.04)
10/11/2018,163.10(159.63),151.88(144.19)
27/10/2018,160.44(159.21),149.95(152.04)
13/10/2018,164.21(160.37),148.63(153.66)
20/10/2018,NS(159.12),NS(148.86)
06/10/2018,160.79(165.01),148.20(151.24)
29/09/2018,160.65(NS),147.19(NS)
22/09/2018,162.13(162.78),148.76(153.70)
15/09/2018,162.45(153.92),150.93(149.57)
08/09/2018,161.30(160.59),154.19(147.99)
01/09/2018,161.86(156.33),156.83(149.87)
25/08/2018,162.97(163.05),156.72(153.43)
18/08/2018,169.98(165.98),157.95(153.11)
11/08/2018,172.28(164.03),160.61(156.38)
04/04/2018,175.72(154.56),162.69(156.27)
28/07/2018,174.90(162.98),164.44(153.23)
21/07/2018,175.30(165.87),163.96(151.19)
14/07/2018,174.36(160.57),163.85(151.21)
07/07/2018,180.65(170.56),161.32(152.66)
30/06/2018,180.81(165.76),165.07(150.69)
23/06/2018,173.12(161.95),168.36(157.62)
16/06/2018,165.87(159.84),160.82(157.29)
09/06/2018,156.67(149.52),153.37(150.17)
02/06/2018,150.81(139.43),151.35(140.04)
26/05/2018,155.28(140.33),142.67(131.32)
19/05/2018,159.89(147.06),146.36(131.78)
12/05/2018,165.65(149.13),146.06(139.20)
05/05/2018,156.77(148.71),154.72(142.07)
28/04/2018,150.52(148.44),160.65(148.50)
21/04/2018,147.19(151.77),153.65(158.44)
14/04/2018,114.92(120.65),154.56(161.34)
07/04/2018,119.74(115.00),125.75(130.71)
31/03/2018,NS(NS),93.38(106.49)
24/03/2018,99.48(105.09),NS(NS)
